itemType,id,number,branch,cluster,subcluster,title,fileCount,isDraft,likelyDuplicate,duplicateByTitleCount,duplicateByFileSetCount,duplicateByCommitCount,clusterDisposition,cleanupDecision,cleanupReason
pr,PR#6,6,solana-staking-implementation-4755943510825594584,Solana/Ethereum,blockchain,Implement Solana Staking Logic,1,False,True,0,2,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#7,7,nlp-summarization-implementation-8302135707580407645,NLP,nlp,Implement NLP-based text summarization,1,False,True,0,5,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#9,9,nlp-sentiment-analysis-6682488477329068145,NLP,nlp,Implement real sentiment analysis in NLPProcessor,1,False,True,0,5,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#10,10,nlp-entity-extraction-14616795516656704660,NLP,nlp,Implement actual entity extraction in NLPProcessor,2,False,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#11,11,solana-initialization-783868414048411329,Solana/Ethereum,blockchain,Implement Solana Program Initialization,2,False,True,1,4,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#12,12,feature-eth-tx-implementation-15752912679968118455,Solana/Ethereum,blockchain,Implement Ethereum Token Transfer Logic,1,False,True,0,2,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#13,13,sentinel/fix-cors-security-headers-15137104950878573790,Sentinel,security_headers,🛡️ Sentinel: Fix permissive CORS and add security headers,3,False,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#14,14,palette-live-stream-placeholder-2247012831272199589,Palette,button_a11y,🎨 Palette: Enhance Live Stream Placeholder,4,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#15,15,sentinel/fix-cors-config-16519380531536230189,Sentinel,cors,🛡️ Sentinel: [HIGH] Fix overly permissive CORS configuration,2,True,True,3,2,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#16,16,bolt-optimize-event-prioritization-7783416478702402484,Event Pipeline / Integrations,integrations,⚡ Bolt: Optimize event prioritization concurrency,3,True,False,0,0,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#17,17,palette-focus-states-17351382806062089582,Palette,button_a11y,🎨 Palette: Add focus states to buttons for accessibility,6,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#18,18,bolt-perf-event-prioritizer-6647171762721591045,Event Pipeline / Integrations,integrations,⚡ Bolt: optimize event processing with concurrent execution,3,True,False,0,0,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#19,19,sentinel-fix-cors-vulnerability-6748860073341731152,Sentinel,cors,🛡️ Sentinel: [HIGH] Fix overly permissive CORS configuration,2,True,True,1,2,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#20,20,palette-ux-improvements-11899457051988823809,Palette,button_a11y,UX: Improve accessibility and fix CSS build,5,True,True,0,1,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#21,21,feature/event-pipeline-implementation-3209488433687305470,Solana/Ethereum,blockchain,Implement Event Pipeline Processing Logic,9,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#22,22,integrate-voting-api-11264882359641286875,Event Pipeline / Integrations,integrations,Integrate voting API with VotingEngine,2,True,True,1,1,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#23,23,integrate-voting-api-16076201931976907034,Event Pipeline / Integrations,integrations,Integrate voting API with VotingEngine,2,True,True,1,1,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#24,24,integrate-agent-creation-14473106705564142573,Event Pipeline / Integrations,integrations,Integrate create_agent API with SystemOrchestrator,2,True,False,0,0,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#25,25,leaderboard-achievements-logic-5695060051861023718,Event Pipeline / Integrations,integrations,Implement achievement count logic for leaderboard,1,True,False,0,0,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#26,26,bolt-concurrency-optimization-10776688425655063225,Event Pipeline / Integrations,integrations,⚡ Bolt: Concurrent event processing,1,True,True,0,5,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#27,27,sentinel-fix-cors-config-5550084313880239358,Sentinel,cors,🛡️ Sentinel: [HIGH] Fix overly permissive CORS configuration,2,True,True,3,2,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#28,28,palette-ux-fix-focus-styles-15553426834621848622,Palette,button_a11y,🎨 Palette: Focus styles and a11y fixes,6,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#29,29,bolt-ingestion-optimization-13455634452102694449,Event Pipeline / Integrations,integrations,⚡ Bolt: Optimize event ingestion history retrieval,2,True,False,0,0,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#30,30,sentinel-fix-cors-vuln-17848400822528686808,Sentinel,cors,🛡️ Sentinel: Fix insecure CORS configuration,1,True,True,0,5,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#31,31,bolt-perf-event-processing-6912403605563400978,Event Pipeline / Integrations,integrations,⚡ Bolt: Optimize event batch processing,1,True,True,1,5,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#32,32,palette-ux-a11y-improvements-8915230955208924912,Palette,button_a11y,🎨 Palette: Enhance accessibility with hidden emojis and focus states,3,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#33,33,bolt-perf-event-concurrency-3915379051695502716,Event Pipeline / Integrations,integrations,⚡ Bolt: Parallelize event batch processing,1,True,True,0,5,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#34,34,palette-button-a11y-7413277532083725984,Palette,button_a11y,🎨 Palette: Enhance button accessibility and interaction,8,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#35,35,sentinel-security-fix-cors-config-12384604095297759074,Sentinel,cors,🛡️ Sentinel: [HIGH] Fix overly permissive CORS configuration,1,True,True,0,5,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#36,36,bolt-concurrent-processing-8596118844826169435,Event Pipeline / Integrations,integrations,⚡ Bolt: optimize batch event processing,2,True,True,0,2,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#37,37,palette-button-focus-and-emojis-2328353520884081766,Palette,button_a11y,🎨 Palette: Enhance button focus states and hide decorative emojis,3,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#38,38,sentinel-security-fix-cors-headers-14746788601126694081,Sentinel,security_headers,🛡️ Sentinel: Fix CORS misconfiguration and add security headers,1,True,True,0,5,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#39,39,sentinel/fix-cors-config-2910958761820317373,Sentinel,cors,🛡️ Sentinel: [HIGH] Fix overly permissive CORS configuration,1,True,True,3,5,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#40,40,bolt-perf-ingestion-heapq-5716966508357761853,Event Pipeline / Integrations,integrations,⚡ Bolt: Optimize get_recent_events with heapq.nlargest,4,True,False,0,0,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#41,41,palette-button-focus-rings-3821344802931354642,Palette,button_a11y,🎨 Palette: Add focus rings to buttons and fix styles,5,True,True,0,1,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#42,42,sentinel-fix-cors-vulnerability-16677670123966948805,Sentinel,cors,🛡️ Sentinel: [HIGH] Fix overly permissive CORS configuration,3,True,True,1,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#43,43,bolt-concurrent-processing-10086390083379725770,Event Pipeline / Integrations,integrations,⚡ Bolt: Optimize event processing concurrency,2,True,True,0,2,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#44,44,palette-button-a11y-682806668128868216,Palette,button_a11y,🎨 Palette: Accessible Buttons & Semantic Content,7,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#45,45,bolt-perf-batch-processing-7995918966187089148,Event Pipeline / Integrations,integrations,⚡ Bolt: Parallelize event batch processing,2,True,True,1,0,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#46,46,sentinel-fix-cors-config-12045893998201154118,Sentinel,cors,🛡️ Sentinel: [HIGH] Fix overly permissive CORS configuration,4,True,True,3,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#47,47,palette-ux-improvements-10475162339953763814,Palette,button_a11y,🎨 Palette: Enhance button interaction and accessibility,2,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#48,48,bolt-perf-event-processing-7301963982227962548,Event Pipeline / Integrations,integrations,⚡ Bolt: Optimize event batch processing,1,True,True,1,5,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#49,49,sentinel/fix-cors-config-11469986317752178497,Sentinel,cors,🛡️ Sentinel: Fix overly permissive CORS configuration,1,True,True,0,5,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#50,50,palette-ux-improvements-1303415929962937969,Palette,button_a11y,🎨 Palette: Accessibility and Button Polish,8,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#51,51,sentinel-cors-fix-11318330261158574821,Sentinel,cors,🛡️ Sentinel: Fix Critical CORS Vulnerability,2,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#52,52,bolt-perf-event-processing-16392546152050038496,Event Pipeline / Integrations,integrations,⚡ Bolt: Parallelize event batch processing,1,True,True,1,5,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#53,53,palette-button-focus-17981727123836556579,Palette,button_a11y,🎨 Palette: Add accessible focus states and tactile feedback,5,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#54,54,memory-manager-lru-optimization-9311857902177515346,Bolt,memory,Optimize MemoryManager LRU Eviction,1,True,True,0,2,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#55,55,perf/knowledge-base-optimization-1968374482546504460,Other,other,Optimize `get_popular_entries` performance,1,True,True,0,3,0,not absorbed but stale,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#56,56,batch-process-concurrency-1976448705994792219,Event Pipeline / Integrations,integrations,Optimize batch event processing using asyncio.gather,1,True,True,0,5,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#57,57,blocking-vrf-simulation-6614803753991214422,Other,other,Fix blocking VRF simulation,1,True,False,0,0,0,not absorbed but stale,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#58,58,agent-broadcast-concurrency-2810301396400765001,Bolt,batch_concurrency,Agent Broadcast Concurrency Optimization,1,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#59,59,knowledge-base-optimization-2989810028268141219,Bolt,knowledge_base,Optimize KnowledgeBase search with inverted index,1,True,True,0,3,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#60,60,feature/memory-expiration-optimization-1600601424454404851,Bolt,memory,Optimize MemoryManager expiration logic,1,True,True,0,2,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#62,62,bolt-optimize-ingestion-query-1804630156857118313,Event Pipeline / Integrations,integrations,⚡ Bolt: Optimize event ingestion query speed,3,True,False,0,0,0,candidate follow-up task,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#63,63,sentinel-fix-cors-security-18230752977920748728,Sentinel,cors,🛡️ Sentinel: Fix insecure CORS configuration,3,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#64,64,palette-button-a11y-2983379759854978567,Palette,button_a11y,🎨 Palette: Button Accessibility Improvements,4,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#66,66,sentinel-security-headers-12914130264784549018,Sentinel,security_headers,🛡️ Sentinel: [MEDIUM] Add basic security headers,2,True,True,0,1,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#67,67,palette-disabled-button-states-2642690034922676213,Palette,button_a11y,🎨 Palette: Add disabled states to buttons,3,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#68,68,bolt-memory-optimization-13323577601643578385,Bolt,memory,⚡ Bolt: Optimize MemoryManager performance,4,True,False,0,0,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#69,69,bolt/optimize-knowledge-base-heapq-155279521988265201,Bolt,knowledge_base,⚡ Bolt: Optimize KnowledgeBase sorting with heapq,1,True,True,0,3,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
pr,PR#70,70,sentinel-security-headers-18404879430170754317,Sentinel,security_headers,🛡️ Sentinel: [HIGH] Add Security Headers Middleware,2,True,True,0,1,0,partially absorbed,close_pr_and_delete_branch,stale/redundant bot PR; intent archived in consolidated report
